,Name,Team,Agents Played,Rounds Played,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths
64,Meteor,NTH,jett,64,250.0,1.20,72%,164.7,0.86,0.23,0.22,0.13,23%,25%,2/8,21,55,46,15,14,8
65,zekken,XSET,jett,50,239.0,1.05,72%,146.8,0.80,0.14,0.16,0.16,22%,,0/3,21,40,38,7,8,8
66,Victor,OPTC,jett,17,233.0,1.27,65%,147.5,0.82,0.18,0.12,0.18,34%,,,14,14,11,3,2,3
67,Surf,XIA,jett,66,220.3,0.98,67%,143.5,0.73,0.12,0.21,0.12,23%,25%,1/4,23,48,49,8,14,8
68,Rb,DRX,jett,139,209.7,1.02,60%,126.7,0.76,0.12,0.26,0.25,23%,,0/8,23,105,103,17,36,35
69,f0rsakeN,PRX,jett,20,185.0,1.00,60%,125.8,0.70,0.10,0.10,0.25,25%,100%,2/2,14,14,14,2,2,5
70,Jinggg,PRX,raze,176,271.7,1.14,72%,168.3,0.91,0.20,0.22,0.14,20%,,0/9,25,161,141,35,38,24
71,Alfajer,FNC,raze,89,262.0,1.17,72%,188.4,0.84,0.25,0.18,0.13,29%,,0/9,25,75,64,22,16,12
72,zekken,XSET,raze,41,246.0,1.10,76%,170.8,0.80,0.27,0.17,0.12,23%,20%,1/5,22,33,30,11,7,5
73,keznit,KRÜ,raze,129,245.7,1.11,67%,164.3,0.81,0.19,0.20,0.12,20%,33%,5/15,24,105,95,25,26,16
74,trexx,GLD,raze,159,234.1,0.97,73%,163.1,0.74,0.30,0.15,0.12,17%,20%,3/15,25,117,121,48,24,19
75,Rb,DRX,raze,38,231.0,1.12,74%,144.7,0.76,0.21,0.11,0.26,33%,,0/2,16,29,26,8,4,10
76,aspas,LLL,raze,92,229.5,1.03,70%,157.6,0.77,0.16,0.15,0.13,20%,,0/5,22,71,69,15,14,12
77,Zyppan,FPX,raze,366,223.9,1.05,68%,150.9,0.77,0.19,0.13,0.13,26%,17%,4/24,24,280,266,68,47,47
78,kiNgg,LEV,raze,86,220.0,0.98,70%,148.3,0.70,0.22,0.15,0.15,16%,,0/4,24,60,61,19,13,13
79,Victor,OPTC,raze,179,217.9,1.00,75%,144.4,0.73,0.30,0.16,0.17,18%,,0/9,22,130,130,53,28,31
80,Derke,FNC,raze,75,217.0,0.77,71%,141.5,0.64,0.25,0.23,0.20,21%,,0/5,16,48,62,19,17,15
81,xnfri,NTH,raze,50,206.5,0.95,68%,149.4,0.70,0.26,0.08,0.12,17%,,0/7,21,35,37,13,4,6
82,Sushiboys,XIA,raze,76,174.0,0.70,71%,117.9,0.55,0.26,0.09,0.12,11%,,0/5,17,42,60,20,7,9
83,Jinggg,PRX,neon,22,275.0,1.11,73%,174.7,0.91,0.23,0.23,0.27,27%,,0/1,20,20,18,5,5,6
84,f0rsakeN,PRX,neon,64,224.0,0.89,70%,146.8,0.77,0.19,0.27,0.27,20%,,0/2,26,49,55,12,17,17
85,Rb,DRX,neon,54,216.0,0.95,70%,132.9,0.72,0.24,0.15,0.20,20%,25%,1/4,14,39,41,13,8,11
86,Derialy,NTH,neon,22,210.0,0.80,55%,135.5,0.73,0.09,0.00,0.27,15%,,0/1,16,16,20,2,0,6
87,Victor,OPTC,neon,152,204.1,0.85,70%,132.2,0.67,0.22,0.17,0.18,25%,11%,1/9,19,102,120,34,26,27
88,kiNgg,LEV,neon,48,203.0,0.76,60%,121.9,0.67,0.15,0.23,0.29,23%,40%,2/5,19,32,42,7,11,14
89,Meteor,NTH,neon,14,143.0,0.46,64%,90.2,0.43,0.21,0.14,0.07,20%,,0/5,6,6,13,3,2,1
90,f0rsakeN,PRX,yoru,61,178.0,0.83,57%,127.6,0.66,0.16,0.07,0.26,37%,20%,1/5,20,40,48,10,4,16
91,ANGE1,FPX,yoru,16,85.0,0.27,31%,59.9,0.25,0.13,0.06,0.19,25%,,0/1,4,4,15,2,1,3
92,d4v41,PRX,breach,22,246.0,1.43,91%,139.8,0.91,0.41,0.05,0.00,22%,13%,1/8,20,20,14,9,1,0
93,Leo,GLD,breach,75,233.7,1.35,79%,140.3,0.88,0.25,0.12,0.03,23%,11%,1/9,29,66,49,19,9,2
94,saadhak,LLL,breach,22,220.0,0.88,73%,153.5,0.64,0.32,0.09,0.00,28%,,0/1,14,14,16,7,2,0
95,stax,DRX,breach,45,215.0,1.06,73%,147.3,0.80,0.36,0.00,0.11,39%,33%,2/6,21,36,34,16,0,5
96,Benkai,PRX,breach,103,184.6,1.00,76%,113.4,0.67,0.39,0.03,0.03,25%,5%,1/22,19,69,69,40,3,3
97,JoXJo,NTH,breach,79,173.8,0.98,68%,120.5,0.66,0.37,0.04,0.05,30%,33%,4/12,18,52,53,29,3,4
98,adverso,LEV,breach,102,171.8,0.84,71%,109.0,0.61,0.28,0.09,0.10,33%,,0/4,18,62,74,29,9,10
99,Crws,XIA,breach,66,163.7,0.87,64%,105.5,0.62,0.26,0.06,0.03,23%,14%,1/7,19,41,47,17,4,2
100,Klaus,KRÜ,breach,83,159.5,0.85,69%,101.0,0.60,0.28,0.01,0.05,25%,18%,2/11,17,50,59,23,1,4
101,dephh,XSET,breach,50,141.0,0.69,58%,95.4,0.54,0.26,0.08,0.14,20%,,0/2,23,27,39,13,4,7
102,Sacy,LLL,breach,70,141.0,0.59,69%,98.1,0.46,0.31,0.03,0.03,21%,6%,1/18,14,32,54,22,2,2
103,FNS,OPTC,breach,131,140.3,0.72,73%,90.7,0.53,0.28,0.05,0.05,23%,6%,1/18,14,69,96,37,6,6
